Species,Sarcocornia pacifica,Sarcocornia pacifica,Salicornia bigelovii,Salicornia bigelovii,Limonium californicum,Limonium californicum,Suaeda esteroa,Suaeda esteroa,Monanthochloe littoralis,Monanthochloe littoralis,Jaumea carnosa,Jaumea carnosa,Cuscuta salina,Cuscuta salina,Frankenia salina,Frankenia salina,Batis maritima,Batis maritima,Distichlis spicata,Distichlis spicata,Triglochin maritima,Triglochin maritima

Site,NT,T,NT,T,NT,T,NT,T,NT,T,NT,T,NT,T,NT,NT,NT,T,NT,T,NT,T

Sampling date,,,,,,,,,,,,,,,,,,,,,,

F85,20,NA,0,NA,0,NA,0.8,NA,2,NA,17,NA,0,NA,0,NA,2,NA,11,NA,0,NA

S85,42,15,3,14,0.6,6,0.03,4,1,3,5,38,0,5,6,1,26,12,0,3,0.2,1

F86,18,18,0,0,0,8,0,2,0,0,3,57,0,4,3,1,22,4,0,1,0.2,20

S86,29,4,0,26,0,8,0,8,0,0.8,0,46,0,13,13,0,47,15,0,2,0,0

S01,9.5,11.6,0,0,0,13.4,0,2.3,3.2,2.8,0,50.8,0,35.9,0,0.5,34.9,0.2,0,0.5,0,1.6

F02,6.6,24.3,0,0,0,13.8,0,9.2,4.4,14.5,0,20.3,0,1.4,0.3,1.5,26.6,2.3,0,0.8,0,29.2

S02,4.4,13.4,0,4.8,0,6.3,0,6.5,10.7,19.6,0,25.1,0,0.4,4.1,2.7,22.5,1.6,0,0.4,0,0

F03,7.6,14.5,0,0,0,8.1,0,2,4.4,3.9,0,36.6,0,1.9,0.6,2.1,29.1,0.6,0,0.1,0,35.6

S03,6.4,12.4,0,11.7,0,5.2,0,0.9,8.3,3.6,0,35.1,0,0.4,5.4,0.8,48.2,5.7,0,0,0,6.8

F04,11.9,15.6,0,0,0,7.9,0,2.6,12,3.6,0,41.2,0,0,5.1,2.9,24,0.6,0,0.2,0,16.7

S04,16.2,4.1,0,18.5,0,7.4,0,6.7,3.2,12.3,0,20.9,0,4,2.7,0.4,16.9,2.2,0,0.3,0,0.4

F05,11.7,11.5,0,0,0,12.7,0,2.8,6.3,4.1,0,34,0,3.9,6.9,5.4,14.8,3.3,0,0.1,0,25.3

S05,6.4,9.5,0,16.9,0,4.9,0,2.1,5.2,5.2,0,23.6,0,4.8,2.1,0.3,21.9,1.8,0,0.4,0,1.7

S06,20.9,13.5,0,10.8,0.8,6.8,0,10.3,5.7,11.4,0,23.2,0,1,1.8,0.3,23.2,10.3,0,0.9,0,0

F07,8.8,20.4,0,0,0,10.5,0,0.4,11.7,5.8,0,29.4,0,3.6,0.5,2,10.2,2,0,0.1,0,9.7
