Species ,Post-larvae _Y2,Settlers _Y1,Settlers _Y2,Recruits _Y1,Recruits _Y2
Atherina spp. ,19.00,186.00,2724.00,1997.00,366.00
Apogon imberbis ,10.00,5.00,25.00,1.00,100.00
Argentina sphyraena ,1.00,,,,
Arnoglossus laterna ,1.00,,,,
Arnoglossus spp. ,1.00,,,,
Auxis rochei ,3.00,,,,
Belone belone ,,,15.00,,9.00
Blenniidae ,1312.00,,,,
Boops boops ,8.00,,779.00,1996.00,1586.00
Bothus podas ,1.00,,2.00,,2.00
Caranx chrysos ,2.00,,,,
Caranx ronchus ,1.00,,,,
Chromis chromis ,175.00,890.00,2929.00,2239.00,7125.00
Conger conger ,5.00,,,,
Coris julis ,,88.00,302.00,658.00,1589.00
Dactylopterus volitans ,3.00,,,,
Dentex dentex ,,1.00,4.00,34.00,17.00
Dicentrachus labrax ,,,5.00,,16.00
Diplodus annularis ,368.00,3.00,517.00,49.00,538.00
Diplodus cervinus ,,,343.00,1.00,40.00
Diplodus puntazzo ,42.00,10.00,93.00,20.00,355.00
Diplodus sargus ,1.00,30.00,347.00,556.00,346.00
Diplodus spp. ,2.00,,,,
Diplodus vulgaris ,,373.00,1510.00,584.00,296.00
Echiichthys vipera ,2.00,,,,
Engraulis encrasicolus ,9.00,,,,
Epinephelus costae ,,,,2.00,
Epinephelus marginatus ,,2.00,2.00,2.00,6.00
Gaidropsaurus mediterraneus ,90.00,,,,
Gymnammodytes semisquamatus ,14.00,,102.00,,246.00
Hippocampus hippocampus ,1.00,,,,
Labrus merula ,,3.00,4.00,16.00,10.00
Litognathus mormyrus ,,,14.00,,86.00
Labrus viridis ,,2.00,,3.00,1.00
Monochirus hispidus ,1.00,,,,
Mycteroperca rubra ,1.00,,,,1.00
Mullus spp. ,612.00,,56.00,23.00,11.00
Mugilidae ,40.00,192.00,1035.00,7126.00,5911.00
Oblada melanura ,330.00,7.00,6625.00,3603.00,2021.00
Pagellus bogaraveo ,513.00,,32.00,,
Pagrus pagrus ,16.00,,,,
Pomatoschisthus spp. ,,,592.00,,121.00
Pomatomus saltatrix ,6.00,,,,
Sarda sarda ,1.00,,,,
Sardina pilchardus ,869.00,,,,
Sarpa salpa ,35.00,822.00,5332.00,2456.00,10514.00
Sciaena umbra ,1.00,,,,4.00
Scorpaena porcus ,17.00,,,,
Scorpaena scrofa ,3.00,,,,
Seriola dumerilii ,1.00,,,,
Serranus cabrilla ,1.00,,,,5.00
Serranus hepatus ,3.00,,,,
Serranus scriba ,2.00,,8.00,199.00,126.00
Solea senegalensis ,1.00,,,,
Sparus aurata ,,,,,4.00
Spicara maena ,,139.00,3.00,55.00,25.00
Spondyliosoma cantharus ,11.00,,8.00,,2.00
Sphyraena viridensis ,,,228.00,15.00,57.00
Symphodus cinereus ,,,12.00,2.00,8.00
Symphodus mediterraneus ,,17.00,175.00,143.00,195.00
Symphodus ocellatus ,,42.00,324.00,597.00,3191.00
Symphodus roissali ,,25.00,91.00,275.00,386.00
Symphodus rostratus ,,,8.00,19.00,11.00
Symphodus spp. ,10.00,,,,
Symphodus tinca ,,4.00,53.00,715.00,811.00
Thalassoma pavo ,5.00,1251.00,1894.00,1238.00,8136.00
Trachinotus ovatus ,71.00,124.00,149.00,665.00,221.00
Trachurus spp. ,460.00,,,,1.00
Tripterygion spp. ,3.00,,,,
Uranoscopus scaber ,1.00,,,,
,,,,,
