site,year,year,month,richness,shannon,
M,2003.254451,2003,Feb,11.04702576,2.240177647,
M,2003.503709,2003,May,17.68788361,2.438000288,
M,2003.752967,2003,Aug,19.47222932,2.403954488,
M,2004.002226,2003,Nov,24.1263322,2.303683955,
M,2004.251484,2004,Feb,20.83341521,2.3689425,
M,2004.487389,2004,May,18.86401897,2.478367243,
M,2004.75,2004,Aug,18.88334283,2.620969855,
M,2004.985905,2004,Nov,13.82343886,0.986476661,
M,2005.252967,2005,Feb,12.07708583,1.95688842,
M,2005.488872,2005,May,18.05470945,2.187790675,
M,2005.73368,2005,Aug,24.69523978,3.147050347,
M,2005.996291,2005,Nov,30.45407799,3.07989218,
M,2006.254451,2006,Feb,17.22804122,2.427798011,
M,2006.503709,2006,May,28.2839101,3.111170429,
M,2006.752967,2006,Aug,25.87399532,2.955745372,
M,2006.988872,2006,Nov,15.074577,1.354430048,
S1,2003.257499,2003,Feb,13.60248447,2.390127429,
S1,2003.452643,2003,May,19.19254658,2.568105442,
S1,2003.644423,2003,Aug,24.22360248,2.548718572,
S1,2003.849661,2003,Nov,25.52795031,2.726907058,
S1,2004.044805,2004,Feb,22.73291925,2.634638186,
S1,2004.246679,2004,May,14.34782609,2.230752861,
S1,2004.448552,2004,Aug,27.01863354,3.063686686,
S1,2004.647061,2004,Nov,12.48447205,0.414385572,
S1,2004.84557,2005,Feb,9.875776398,1.382548075,
S1,2005.054172,2005,May,19.00621118,2.496217339,
S1,2005.249316,2005,Aug,28.32298137,2.861469239,
S1,2005.444461,2005,Nov,28.13664596,3.060260659,
S1,2005.649699,2006,Feb,15.65217391,2.115694478,
S1,2005.82802,2006,May,24.59627329,2.314719756,
S1,2006.046716,2006,Aug,30.37267081,2.91891658,
S1,2006.245225,2006,Nov,22.17391304,1.537759963,
N1,2003.24598,2003,Feb,3.727663842,1.373966942,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2003.493258,2003,May,13.66204935,2.055785124,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2003.74886,2003,Aug,22.56395036,2.262396694,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2004.008059,2003,Nov,17.41651226,1.849173554,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2004.254905,2004,Feb,17.02028949,2.179752066,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2004.497453,2004,May,13.9378204,1.384297521,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2004.744601,2004,Aug,20.77302342,1.776859504,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2004.999452,2004,Nov,11.69966602,0.909090909,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2005.246254,2005,Feb,10.27038242,2.035123967,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2005.49769,2005,May,19.58521959,2.272727273,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2005.748788,2005,Aug,20.84218231,2.675619835,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2005.991804,2005,Nov,28.91677016,2.489669421,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2006.246222,2006,Feb,9.512804479,1.745867769,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2006.502067,2006,May,24.19984612,2.407024793,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2006.753235,2006,Aug,27.10970616,1.332644628,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N1,2006.995567,2006,Nov,18.86193293,1.363636364,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.248599,2003,Feb,7.413751063,0.870488323,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.331232,2003,May,4.618577792,0.541401274,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.415266,2003,Aug,8.82917923,0.902335456,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.4993,2003,Nov,5.608782791,0.201698514,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.581933,2004,Feb,7.909150922,0.329087049,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.663165,2004,May,4.053001243,0.08492569,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.747199,2004,Aug,12.29757296,0.530785563,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.835434,2004,Nov,5.678364764,0.053078556,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.923669,2005,Feb,7.551725573,0.392781316,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2005.9993,2005,May,7.731925042,0.360934183,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.080532,2005,Aug,20.43628492,1.422505308,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.163165,2005,Nov,17.42879742,1.571125265,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.245798,2006,Feb,9.750396974,0.50955414,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.334034,2006,May,13.32227158,0.488322718,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.415266,2006,Aug,26.45125991,2.664543524,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
S2,2006.4993,2006,Nov,15.16292292,1.093418259,"ignore the webplot years/dates, I set the scale wrong from 2005.25 - 2006.25"
N2,2003.263005,2003,Feb,4.873255632,1.374686624,
N2,2003.497644,2003,May,4.887890033,1.404362098,
N2,2003.745496,2003,Aug,11.82642555,1.681829514,
N2,2004.017496,2003,Nov,8.101186432,1.225882185,
N2,2004.251925,2004,Feb,5.870485549,1.26581884,
N2,2004.494926,2004,May,5.698531333,0.530995923,
N2,2004.751089,2004,Aug,11.88914441,1.335338631,
N2,2005.002348,2004,Nov,10.40793394,1.592260599,
N2,2005.249451,2005,Feb,9.300684681,2.231431764,
N2,2005.501372,2005,May,14.92970261,1.486255327,
N2,2005.744686,2005,Aug,18.12575132,1.805113739,
N2,2005.996189,2005,Nov,19.26409868,2.051705272,
N2,2006.246542,2006,Feb,8.05310197,1.296175315,
N2,2006.50274,2006,May,14.61793759,1.862848753,
N2,2006.750732,2006,Aug,23.0533633,2.522750043,
N2,2006.992513,2006,Nov,9.783619924,0.827173547,
