site,substation,lat,lon
all - small seine,1,-33.53920244,27.04753193
all - small seine,2,-33.5378583,27.04691149
all - small seine,3,-33.53738036,27.04640619
all - small seine,4,-33.53720572,27.04597818
all - small seine,5,-33.53585632,27.04383907
all - small seine,6,-33.53536988,27.04088051
all - small seine,7,-33.53420281,27.04138901
all - small seine,8,-33.532817,27.04123595
all - small seine,9,-33.53021975,27.04127995
all - small seine,10,-33.52826996,27.04077751
all - small seine,11,-33.52731691,27.04058466
all - small seine,12,-33.52713971,27.03941679
all - small seine,13,-33.52609846,27.03875682
all - small seine,14,-33.52574769,27.03747246
all - small seine,15,-33.52496376,27.03611105
all - small seine,16,-33.52339993,27.03455647
all - small seine,17,-33.52213927,27.03304023
all - small seine,18,-33.52096451,27.03132912
all - small seine,19,-33.52048104,27.02922726
all - small seine,20,-33.51943723,27.02782742
all - small seine,21,-33.52003843,27.02642438
all - large seine,A,-33.53563569,27.04263233
all - large seine,B,-33.53381199,27.04103931
all - large seine,C,-33.52935544,27.04170998
all - large seine,D,-33.52513813,27.03646118
all - large seine,E,-33.52105231,27.03167942
all - large seine,F,-33.519434,27.02689285
