Species,Common name,1982-Day,1982-Night,1989-Day,1989-Night

Gasterosteidae,,,,,

Gasterosteus aculeatus,threespine stickleback,3017,623,5244,5301

G. wheatlandi,blackspotted stickleback,57,20,128,101

Pleuronectidae,,,,,

Pseudopleuronectes americanus,winter flounder,1,75,0,114

Limanda ferruginea,yellow tail,1,0,0,0

Osmeridae,,,,,

Mallotus villosus,capelin,7,46,62,2

Osmerus mordax,smelt,1,113,0,117

Gadidae,,,,,

Urophycis tenuis,white hake,0,23,51,74

Gadus spp.,cod,69,250,53,820

Cyclopteridae,,,,,

Cyclopterus lumpus,lumpfish,9,0,23,15

Liparis atlanticus,Atlantic seasnail,4,10,1,6

Cottidae,,,,,

Myoxocephalus scorpius,shorthorn sculpin,0,15,0,10

M. aeneus,grubby sculpin,1,4,0,0

M. octodecemspinosus,longhorn sculpin,0,0,0,3

Rajidae,,,,,

Raja erinacea,little skate,0,1,0,0

R. radiata,thorny skate,0,0,1,0

Salmonidae,,,,,

Salmo trutta,brown trout,0,6,0,0

Salvelinus fontinalis,brook trout,0,3,0,0

Clupeidae,,,,,

Clupea harengus,Atlantic herring,30,21,5,4

Pholidae,,,,,

Pholis gunnellus,rock gunnel,12,11,0,0

Stichaeidae,,,,,

Ulvaria subbifurcata,radiated shanny,5,18,4,15

Zoarcidae,,,,,

Macrozoarces americanus,ocean pout,0,0,0,7

Labridae,,,,,

Tautogolabrus adspersus,cunner,0,0,1,4
