Species ,Common name ,Total_1982-1983  %b_1982-1983 ,Day_1982-1983 ,Night _1982-1983 ,Total_1989-1990 %b_1989-1990,Day _1989Ð1990,Night_1989Ð1990
Gasterosteidae,,,,,,,
Gasterosteus aculeatus ,threespine stickleback ,3640 (3599) 82á70 ,3017,623,10 545 86á68 ,5244,5301
G. wheatlandi ,blackspotted stickleback ,7 (73) 1á68 ,57,20,229 1á88 ,128,101
Pleuronectidae,,,,,,,
Pseudopleuronectes americanus ,winter flounder ,76 (75) 1á72 ,1,75,114 0á94 ,0,114
Limanda ferruginea ,yellow tail ,1 (1) 0á02 ,1,0,0,0,0
Osmeridae,,,,,,,
Mallotus villosus ,capelin ,53 (52) 1á19 ,7,46,64 0á53 ,62,2
Osmerus mordax ,smelt ,114 (114) 2á62 ,1,113,117 0á96 ,0,117
Gadidae,,,,,,,
Urophycis tenuis ,white hake ,23 (23) 0á53 ,0,23,125 1á03 ,51,74
Gadus spp. ,cod ,319 (279) 6á41 ,69,250,873 7á18 ,53,820
Cyclopteridae,,,,,,,
Cyclopterus lumpus ,lumpfish ,9 (9) 0á21 ,9,0,38 0á31 ,23,15
Liparis atlanticus ,Atlantic seasnail ,14 (0) ,4,10,7 0á06 ,1,6
Cottidae,,,,,,,
Myoxocephalus scorpius ,shorthorn sculpin ,15 (13) 0á29 ,0,15,10 0á08 ,0,10
M. aeneus ,grubby sculpin ,5 (3) 0á07 ,1,4,0,0,0
M. octodecemspinosus ,longhorn sculpin ,0 (0) ,0,0,3 0á02 ,0,3
Rajidae,,,,,,,
Raja erinacea ,little skate ,1 (1) 0á02 ,0,1,0,0,0
R. radiata ,thorny skate ,0 (0) ,0,0,1 0á01 ,1,0
Salmonidae,,,,,,,
Salmo trutta ,brown trout ,6 (5) 0á14 ,0,6,0,0,0
Salvelinus fontinalis ,brook trout ,3 (3) 0á07 ,0,3,0,0,0
Clupeidae,,,,,,,
Clupea harengus ,Atlantic herring ,51 (47) 1á08 ,30,21,9 0á07 ,5,4
Pholidae,,,,,,,
Pholis gunnellus ,rock gunnel ,23 (23) 0á53 ,12,11,0,0,0
Stichaeidae,,,,,,,
Ulvaria subbifurcata ,radiated shanny ,23 (14) 0á32 ,5,18,19 0á15 ,4,15
Zoarcidae,,,,,,,
Macrozoarces americanus ,ocean pout ,0 (0) ,0,0,7 0á06 ,0,7
Labridae,,,,,,,
Tautogolabrus adspersus ,cunner ,0 (0) ,0,0,5 0á04 ,1,4
Total fish (Ni) ,,4453 (4352) 99á6 ,3214,1239,12 166 100 ,5573,6593
Total species (S) ,,18,,,16,,
