Species ,Species classification,SW-C_1996,SW-C_1997,SW-P_1996,SW-P_1997,TE-C_1996,TE-C_1997,LPL-P1996
Mean seedling density ,,653 (245) ,1519 (627) ,4421 (1022) ,3518 (767) ,1355 (402) ,419 (265) ,1870 (415)
Amblyopappus pusillus ,"n,a,f ",83 (75) ,259 (142) ,662 (251) ,758 (373),,,
Atriplex watsonii ,"n,p,f ",63 (23) ,29 (10) ,,,,1 (1),
Batis maritima ,"n,p,s ",,1 (1),,,,,
Conyza canadensis ,"n,a,f ",,,,,,,5 (3)
Cordylanthus maritimus  ssp. maritimus ,"n,a,f ",17 (9) ,34 (25) ,,1 (1) ,97 (44) ,39 (33),
Cotula coronopifolia ,"e,a,f ",,,,,,,104 (63)
Frankenia salina ,"n,p,f ",33 (18) ,8 (4) ,2 (2) ,10 (10) ,4 (2) ,1 (1),
Hordeum murinum ,"e,a,g ",21 (20) ,35 (34) ,,33 (16),,,
Hutchinsia procumbens ,"n,a,f ",4 (3) ,142 (101) ,755 (165) ,593 (120),,,
Jaumea carnosa ,"n,p,s ",,1 (1) ,,,,5 (3),
Juncus bufonius ,"n,a,g ",79 (79) ,277 (276) ,689 (281) ,919 (422),,,
Lasthenia glabrata ssp. coulteri ,"n,a,f ",1 (1) ,1 (1) ,570 (262) ,94 (48) ,,,24 (15)
Limonium californicum ,"n,p,f ",81 (42) ,107 (49) ,,3 (1) ,2 (1) ,11 (3),
Lolium multiflorum ,"e,a,g ",,,,,,,16 (7)
Lythrum hyssopifolium ,"e,a,f ",,,,,,,361 (172)
Mesembryanthemum nodiflorum ,"e,a,s ",9 (8) ,237 (106) ,1287 (374) ,856 (240),,,
Parapholis incurva ,"e,a,g ",169 (103) ,267 (134) ,356 (85) ,228 (89) ,1241 (420) ,239 (120) ,665 (404)
Polypogon monspeliensis ,"e,a,g ",,,,,,,316 (192)
Rumex crispus ,"e,p,f ",,,,,,,29 (9)
Salicornia bigelovii ,"n,a,s ",,,,4 (4),,,
Salicornia europaea ,"n,a,s ",,,,,,,11 (10)
Salicornia subterminalis ,"n,p,s ",14 (14) ,13 (6) ,21 (15) ,6 (3) ,5 (3) ,15 (9) ,200 (100)
Salicornia virginica ,"n,p,s ",13 (5) ,30 (14) ,,,7 (4) ,1 (1) ,33 (15)
Sonchus oleraceus ,"e,a,f ",40 (13) ,62 (26) ,37 (14) ,6 (3) ,,,1 (1)
Spergularia marina ,"n,a,s ",16 (16) ,1 (1) ,41 (19) ,6 (3) ,1 (1) ,,105 (94)
Suaeda esteroa ,"n,p,s ",12 (6) ,17 (8) ,,,,107 (107),
Trifolium campestre ,"e,a,f ",,,1 (1) ,1 (1),,,
