Species,1986,1987,1988,1989

Crangon crangon,97.78,92.79,95.8,92.75

Pontophilus trispinosus,-,-,0,-

Pontophilus bispinosus,-,0.12,0.05,-

Pagurus bernhardus,1.33,4.32,2.62,3.73

Pisidia longicornis,-,0.01,0,-

Inachus dorsettensis,0.03,0.12,0.05,0.13

Macropodia rostrata,0.08,0.3,0.45,0.47

Hyas araneus,0.13,0.61,0.07,0.11

Corystes cassivelaunus,0,0.05,0,

Cancer pagurus,0.01,-,0.01,-

Liocarcinus holsatus,0.04,0.46,0.25,0.4

Liocarcinus depurator,0.18,0.99,0.24,0.4

Liocarcinus arcuatus,-,-,0,-

Liocarcinus marmoreus,0,-,-,-

Carcinus maenas,0.42,0.74,0.44,2.01

Total species,11,11,14,8

Total numbers,23215,8423,20625,4718

Number of samples,38,33,39,34
