,1986,1986,1987,1987,1988,1988,1989,1989

Species,N,W,N,W,N,W,N,W

Clupea harengus,15.86,22.6,21.05,23.85,31.21,54.27,37.84,65.16

Sprattus sprattus,1.23,1.3,35.1,45.18,15.48,7.14,9.93,12.53

Salmo trutta,0.01,2.11,0,0.03,0.01,0.4,0.03,1.97

Pollachius virens,0.09,1.55,-,-,-,-,0.01,0.01

Gadus morhua,-,-,-,-,-,-,0.2,0.03

Atherina presbyter,0.01,0.07,-,-,0.02,0.03,0.39,0.34

Spinachia spinachia,0.05,0.04,0.01,<0.01,0.33,0.07,1.38,0.11

Gasterosteus aculeatus,0.06,0.01,-,,-,-,0.02,0.01

Syngnathus rostellatus,0.02,0.01,0.01,<0.01,0.04,0.01,0.25,0.03

Syngnathus acus,-,-,-,-,-,,0.01,0

Eutrigla gurnardus,0.09,0.08,0.01,0.01,0.01,0,1.18,0.3

Myoxocephalus scorpius,0.03,<0.02,-,,-,-,0.35,0.02

Agonus cataphractus,0.09,0.01,0.01,<0.01,0.02,0.01,0.02,0.01

Cyclopterus lumpus,0.02,~ 0 . 0 1,0.01,<0.01,0.19,0.02,0.01,0

Liparis montagui,-,-,-,-,0,<0.01,-,

Pholis gunnellus,,-,-,-,-,-,0.01,0

Echiichthys vipera,0.02,0.01,0.02,0.03,0.15,0.1,0.23,0.17

Ammodytes tobianus,62.92,63.3,42.09,25.2,40.45,25.5,25.24,7.72

Hyperoplus lanceolatus,0.05,0.05,0.54,0.31,8.91,5.36,0.21,0.03

Gobiusculus flavescens,-,-,-,-,<0.01,<0.01,0.01,0

Pomatoschistus lozanoi,-,-,0.03,<0.01,0.15,0.04,0.01,0

Pomatoschistus minutus,0.11,0.05,0.24,0.08,0.8,0.36,0.95,0.22

Pomatoschistus pictus,-,-,-,-,0.02,0.01,-,-

Pomatoschistus microps,,,<0.01,<0.01,-,-,-,-

Pomatoschistus morvegicus,,,-,-,<0.01,<0.01,-,-

Scomber scombrus,,-,0.01,0.01,-,-,0.02,0.06

Scophthalmus maximus,-,-,0.02,0.16,0.04,0.1,0.01,0.06

Scophthalmus rhombus,0.01,<0.01,0.01,0.02,0.06,0.1,0.01,0.07

Limanda limanda,0.01,<0.01,0.04,0.01,0.08,0.05,1.1,0.09

Pleuronectes platessa,19.22,6.27,0.69,3.15,1.84,3.12,19.73,4.44

Pleuronectes flesus,0.08,2.53,0.12,1.96,0.17,3.31,0.64,6.54

Solea solea,,,-,-,<0.01,0.01,0.01,0.08

Total species,21,21,22,22,27,27,31,31

Total numbers,9833,9833,39204,39204,20218,20218,9118,9118

Total weight (g),18950,18950,114026,114026,62933,62933,44377,44377

Number of samples,36,36,48,48,52,52,45,45
