Species,1986,1986,1987,1987,1988,1988,1989,1989

,N,W,N,W,N,W,N,W

Raja clavata,-,-,-,-,-,-,0.03,0.34

Trisopterus minutus,-,-,,-,-,-,0.03,0.02

Merlangius merlangus,-,-,-,,-,-,0.03,0.12

Pollachius virens,0.03,0.02,0.09,0 01,-,-,0 07,0.07

Gadus morhua,0.22,0.43,-,-,0.07,0.88,1.36,1.62

Apletodon dentatus,0.01,0.01,-,-,-,-,-,-

Spinachia spinachia,0.04,0.18,0.45,0.09,1.87,1.99,0.56,0.5

Nerophis lumbriciformis,0.09,0.02,0.27,0.02,0.22,0.04,0.07,0.02

Syngnathus rostellatus,0.17,0.15,1.18,0.16,1.72,0.5,0.83,0.3

Syngnathus acus,-,-,0.36,0.03,0.5,0.13,0.07,0.02

Eutrigla gurnardus,0.27,0.41,2,0.9,1.08,0.51,3.15,2.72

Myoxocephalus scorpius,1.71,2.45,0.73,4.87,-,-,2.12,0.4

Taurulus bubalis,-,-,0.45,0.39,0.22,0.15,-,

Agonus cataphractus,3.03,1.36,2,0.73,2.15,0.73,3.61,1.49

Cyclopterus lumpus,0.26,0.31,1.82,0.55,2.08,3.62,0.07,<0.01

Liparis montagui,-,-,-,,0.07,0.06,-,-

Zoarces viviparus,-,-,-,-,0.14,0.15,-,-

Pholis gunnellus,0.19,0.83,3,2.54,1.15,3.08,0.9,0.55

Echiichthys vipera,-,-,-,,0.14,0.11,0.17,0.64

Ammodytes tobianus,0.33,0.32,1,0.47,0.29,0.1,0.07,<0.01

Hyperoplus lanceolatus,-,-,-,,0.07,0.02,-,-

Callionymus maculatus,0.01,0.01,0.72,0.3,0.29,0.32,-,-

Gobiusculus flavescens,0.09,0.1,1,0.11,0.72,0.22,0.07,0.03

Pornatoschstus lozanoj,0.15,0.11,3.45,0.41,7.39,1.89,0.66,0.26

Pornatoschistus rninutus,0.99,1.96,26.79,6.65,33.45,12.63,5.4,6.44

Pomatoschistus pictus,0.11,0.09,0.18,0.02,2.08,0.83,0.27,0.13

Phyrnorhombus regius,-,,0.09,0.01,-,-,-,

Scophthalmus maximus,0.01,0.01,0.56,0.26,0.14,0.34,-,-

Scophthalmus rhombus,-,-,0.09,0.18,0.29,0.26,-,-

Arnoglossus laterna,-,-,0.27,1.25,,-,0.03,0.27

Limanda limanada,1.27,1.32,14.53,6.86,20.89,10.53,10.25,4.73

Pleuronectes platessa,91.01,89.91,38.6,69.33,22.83,60.31,70.06,77.82

Pleuronectes flesus,-,,0.18,3.82,0.07,0.53,0.07,1.51

Buglossideum luteum,-,-,0 09,0,0.07,0.07,-,

Solea solea,-,-,0 09,0.03,-,-,0.07,<0.01

Total species,20,20,26,26,26,26,25,25

Total numbers,8910,8910,1113,1113,1410,1410,3023,3023

Total weight ( g ),6302,6302,2960,2960,3150,3150,4343,4343

Number of  samples,38,38,33,33,39,39,34,34
