Site,Longitude,Latitude
N,-80.11303855,26.01763679
N,-80.11235828,26.02577351
N,-80.11198035,26.03151834
N,-80.11175359,26.0369228
N,-80.11145125,26.03821956
N,-80.11122449,26.04102306
N,-80.11099773,26.04273143
N,-80.11069539,26.05087281
N,-80.11046863,26.05189671
N,-80.11016629,26.05394637
N,-80.11046863,26.05518213
N,-80.1100907,26.0565464
N,-80.10986395,26.05914456
N,-80.11590563,25.97777778
N,-80.1152968,25.97901235
N,-80.11491629,25.98916324
N,-80.11476408,25.99218107
N,-80.11453577,25.99348422
N,-80.11415525,25.9962963
N,-80.11415525,25.99780521
N,-80.11362253,26.00082305
N,-80.11331811,26.00932785
N,-80.11324201,26.01769547
,,
,,
B,-80.11084656,26.04368781
B,-80.11054422,26.04594281
B,-80.1106198,26.04635442
B,-80.11039305,26.04676231
B,-80.11039305,26.04703609
B,-80.11031746,26.04737739
B,-80.11031746,26.04771962
B,-80.11031746,26.0481303
B,-80.11039305,26.04840502
B,-80.11039305,26.04881569
B,-80.11054422,26.04915979
B,-80.11468798,25.98106996
B,-80.11544901,25.98106996
B,-80.11506849,25.98155007
B,-80.11506849,25.9824417
B,-80.11499239,25.98655693
B,-80.11506849,25.98689986
B,-80.11506849,25.98710562
B,-80.11499239,25.98744856
B,-80.11461187,25.9824417
B,-80.11544901,25.98237311
B,-80.11544901,25.98161866
B,-80.11476408,25.98155007
,-80.11285866,26.01397902
