,year,Genus,species,mean_abund_per_m2
1,1999,Acartia,clausi,6254
2,1999,Calanus,euxinus,5253
3,1999,Centropages,ponticus,759
4,1999,Oithona,similis,28
5,1999,Paracalanus,parvus,756
6,1999,Pseudocalanus,elongatus,8068
7,1999,Harpacticoid,spp.,15
8,1999,Cirriped,nauplii,935
9,1999,Penilia,avirostris,"16,054"
10,1999,Pseudoevadne,tergestina,5589
11,1999,Oikopleura,dioica,1462
12,1999,Sagitta,setosa,"44,353"
13,1999,Medusae,planula,0
14,2000,Acartia,clausi,"17,973"
15,2000,Calanus,euxinus,9214
16,2000,Centropages,ponticus,45
17,2000,Oithona,similis,2857
18,2000,Paracalanus,parvus,4981
19,2000,Pseudocalanus,elongatus,"16,595"
20,2000,Harpacticoid,spp.,2760
21,2000,Cirriped,nauplii,23
22,2000,Penilia,avirostris,"67,770"
23,2000,Pseudoevadne,tergestina,269
24,2000,Oikopleura,dioica,8284
25,2000,Sagitta,setosa,"33,355"
26,2000,Medusae,planula,"27,597"
27,2001,Acartia,clausi,"12,579"
28,2001,Calanus,euxinus,"11,697"
29,2001,Centropages,ponticus,223
30,2001,Oithona,similis,"25,792"
31,2001,Paracalanus,parvus,"11,695"
32,2001,Pseudocalanus,elongatus,"11,695"
33,2001,Harpacticoid,spp.,871
34,2001,Cirriped,nauplii,3707
35,2001,Penilia,avirostris,"33,411"
36,2001,Pseudoevadne,tergestina,1963
37,2001,Oikopleura,dioica,"22,455"
38,2001,Sagitta,setosa,"50,048"
39,2001,Medusae,planula,2972
40,2002,Acartia,clausi,"12,524"
41,2002,Calanus,euxinus,"11,409"
42,2002,Centropages,ponticus,30
43,2002,Oithona,similis,9772
44,2002,Paracalanus,parvus,"10,137"
45,2002,Pseudocalanus,elongatus,"10,137"
46,2002,Harpacticoid,spp.,321
47,2002,Cirriped,nauplii,35
48,2002,Penilia,avirostris,1072
49,2002,Pseudoevadne,tergestina,100
50,2002,Oikopleura,dioica,9817
51,2002,Sagitta,setosa,2590
52,2002,Medusae,planula,8350
53,2005,Acartia,clausi,"27,987"
54,2005,Calanus,euxinus,9459
55,2005,Centropages,ponticus,0
56,2005,Oithona,similis,7252
57,2005,Paracalanus,parvus,"12,094"
58,2005,Pseudocalanus,elongatus,"24,806"
59,2005,Harpacticoid,spp.,153
60,2005,Cirriped,nauplii,0
61,2005,Penilia,avirostris,925
62,2005,Pseudoevadne,tergestina,75
63,2005,Oikopleura,dioica,"13,038"
64,2005,Sagitta,setosa,1825
65,2005,Medusae,planula,0
66,2006,Acartia,clausi,"16,629"
67,2006,Calanus,euxinus,6771
68,2006,Centropages,ponticus,48
69,2006,Oithona,similis,7219
70,2006,Paracalanus,parvus,3097
71,2006,Pseudocalanus,elongatus,6243
72,2006,Harpacticoid,spp.,414
73,2006,Cirriped,nauplii,545
74,2006,Penilia,avirostris,1354
75,2006,Pseudoevadne,tergestina,5820
76,2006,Oikopleura,dioica,"42,143"
77,2006,Sagitta,setosa,9321
78,2006,Medusae,planula,5167
